Date,Open,High,Low,Volume,Close + 7,Close + 8,Close + 9,Close + 10,Close + 11,Close + 12,Close + 13,Close + 14,Close + 15,Close + 16,Close + 17,Close + 18,Close + 19,Close + 20,Close + 21,Close + 22,Close + 23,Close + 24,Close + 25,Close + 26,Close + 27,Close + 28,Close + 29,Close + 30,Close + 31,Close + 32,Close + 33,Close + 34,Close + 35,Close + 36,Close + 37,MA_13,MA_21,RSI_3,%K,%D,value,value_classification,Close + 6,Close + 5,Close + 4,Close + 3,Close + 2,Close + 1,Close
2018-02-01,10237.2998046875,10288.7998046875,8812.2802734375,9959400448,11259.400390625,11359.400390625,10868.400390625,10931.400390625,11600.099609375,12899.2001953125,11607.400390625,11474.900390625,11188.599609375,11490.5,13819.7998046875,13772.0,14360.2001953125,13980.599609375,13405.7998046875,14973.2998046875,14595.400390625,15170.099609375,16477.599609375,17527.0,17429.5,15599.2001953125,15201.0,14982.099609375,13657.2001953125,14156.400390625,12952.2001953125,14656.2001953125,14606.5,15838.5,16099.7998046875,11085.43396935096,11704.98293340774,4.873774404630879,0.0,2.2777739025297667,30,1,11171.400390625,11440.7001953125,11786.2998046875,11296.400390625,10106.2998046875,10221.099609375,9170.5400390625
2018-02-02,9142.2802734375,9142.2802734375,7796.490234375,12726899712,11171.400390625,11259.400390625,11359.400390625,10868.400390625,10931.400390625,11600.099609375,12899.2001953125,11607.400390625,11474.900390625,11188.599609375,11490.5,13819.7998046875,13772.0,14360.2001953125,13980.599609375,13405.7998046875,14973.2998046875,14595.400390625,15170.099609375,16477.599609375,17527.0,17429.5,15599.2001953125,15201.0,14982.099609375,13657.2001953125,14156.400390625,12952.2001953125,14656.2001953125,14606.5,15838.5,10772.47626201923,11459.751999627975,7.627136788875177,0.0,2.2777739025297667,15,2,11440.7001953125,11786.2998046875,11296.400390625,10106.2998046875,10221.099609375,9170.5400390625,8830.75
2018-02-03,8852.1201171875,9430.75,8251.6298828125,7263790080,11440.7001953125,11171.400390625,11259.400390625,11359.400390625,10868.400390625,10931.400390625,11600.099609375,12899.2001953125,11607.400390625,11474.900390625,11188.599609375,11490.5,13819.7998046875,13772.0,14360.2001953125,13980.599609375,13405.7998046875,14973.2998046875,14595.400390625,15170.099609375,16477.599609375,17527.0,17429.5,15599.2001953125,15201.0,14982.099609375,13657.2001953125,14156.400390625,12952.2001953125,14656.2001953125,14606.5,10585.92322716346,11212.833426339286,19.841926697137268,24.75349753251697,8.251165844172329,40,1,11786.2998046875,11296.400390625,10106.2998046875,10221.099609375,9170.5400390625,8830.75,9174.91015625
2018-02-04,9175.7001953125,9334.8701171875,8031.22021484375,7073549824,11786.2998046875,11440.7001953125,11171.400390625,11259.400390625,11359.400390625,10868.400390625,10931.400390625,11600.099609375,12899.2001953125,11607.400390625,11474.900390625,11188.599609375,11490.5,13819.7998046875,13772.0,14360.2001953125,13980.599609375,13405.7998046875,14973.2998046875,14595.400390625,15170.099609375,16477.599609375,17527.0,17429.5,15599.2001953125,15201.0,14982.099609375,13657.2001953125,14156.400390625,12952.2001953125,14656.2001953125,10381.739332932691,10951.167224702382,21.7568055611289,0.0,8.251165844172329,24,2,11296.400390625,10106.2998046875,10221.099609375,9170.5400390625,8830.75,9174.91015625,8277.009765625
2018-02-05,8270.5400390625,8364.83984375,6756.68017578125,9285289984,11296.400390625,11786.2998046875,11440.7001953125,11171.400390625,11259.400390625,11359.400390625,10868.400390625,10931.400390625,11600.099609375,12899.2001953125,11607.400390625,11474.900390625,11188.599609375,11490.5,13819.7998046875,13772.0,14360.2001953125,13980.599609375,13405.7998046875,14973.2998046875,14595.400390625,15170.099609375,16477.599609375,17527.0,17429.5,15599.2001953125,15201.0,14982.099609375,13657.2001953125,14156.400390625,12952.2001953125,10080.72930438702,10624.284853980656,13.42382857174418,0.0,8.251165844172329,11,2,10106.2998046875,10221.099609375,9170.5400390625,8830.75,9174.91015625,8277.009765625,6955.27001953125
2018-02-06,7051.75,7850.7001953125,6048.259765625,13999800320,10106.2998046875,11296.400390625,11786.2998046875,11440.7001953125,11171.400390625,11259.400390625,11359.400390625,10868.400390625,10931.400390625,11600.099609375,12899.2001953125,11607.400390625,11474.900390625,11188.599609375,11490.5,13819.7998046875,13772.0,14360.2001953125,13980.599609375,13405.7998046875,14973.2998046875,14595.400390625,15170.099609375,16477.599609375,17527.0,17429.5,15599.2001953125,15201.0,14982.099609375,13657.2001953125,14156.400390625,9803.39081280048,10446.356282552084,26.462294200454195,35.98466108337258,11.994887027790863,8,2,10221.099609375,9170.5400390625,8830.75,9174.91015625,8277.009765625,6955.27001953125,7754.0
2018-02-07,7755.490234375,8509.1103515625,7236.7900390625,9169280000,10221.099609375,10106.2998046875,11296.400390625,11786.2998046875,11440.7001953125,11171.400390625,11259.400390625,11359.400390625,10868.400390625,10931.400390625,11600.099609375,12899.2001953125,11607.400390625,11474.900390625,11188.599609375,11490.5,13819.7998046875,13772.0,14360.2001953125,13980.599609375,13405.7998046875,14973.2998046875,14595.400390625,15170.099609375,16477.599609375,17527.0,17429.5,15599.2001953125,15201.0,14982.099609375,13657.2001953125,9523.53692157452,10276.48486328125,35.44916753566807,30.006205696966205,21.996955593446263,36,1,9170.5400390625,8830.75,9174.91015625,8277.009765625,6955.27001953125,7754.0,7621.2998046875
2018-02-08,7637.85986328125,8558.76953125,7637.85986328125,9346750464,9170.5400390625,10221.099609375,10106.2998046875,11296.400390625,11786.2998046875,11440.7001953125,11171.400390625,11259.400390625,11359.400390625,10868.400390625,10931.400390625,11600.099609375,12899.2001953125,11607.400390625,11474.900390625,11188.599609375,11490.5,13819.7998046875,13772.0,14360.2001953125,13980.599609375,13405.7998046875,14973.2998046875,14595.400390625,15170.099609375,16477.599609375,17527.0,17429.5,15599.2001953125,15201.0,14982.099609375,9300.013033353363,10123.660551525298,91.57844177777088,99.13599315532802,55.04228664522228,30,1,8830.75,9174.91015625,8277.009765625,6955.27001953125,7754.0,7621.2998046875,8265.58984375
2018-02-09,8271.83984375,8736.98046875,7884.7099609375,6784820224,8830.75,9170.5400390625,10221.099609375,10106.2998046875,11296.400390625,11786.2998046875,11440.7001953125,11171.400390625,11259.400390625,11359.400390625,10868.400390625,10931.400390625,11600.099609375,12899.2001953125,11607.400390625,11474.900390625,11188.599609375,11490.5,13819.7998046875,13772.0,14360.2001953125,13980.599609375,13405.7998046875,14973.2998046875,14595.400390625,15170.099609375,16477.599609375,17527.0,17429.5,15599.2001953125,15201.0,9092.03459284856,9986.973888578868,89.37021548224185,100.0,76.38073295076475,44,1,9174.91015625,8277.009765625,6955.27001953125,7754.0,7621.2998046875,8265.58984375,8736.98046875
2018-02-10,8720.080078125,9122.5498046875,8295.4697265625,7780960256,9174.91015625,8830.75,9170.5400390625,10221.099609375,10106.2998046875,11296.400390625,11786.2998046875,11440.7001953125,11171.400390625,11259.400390625,11359.400390625,10868.400390625,10931.400390625,11600.099609375,12899.2001953125,11607.400390625,11474.900390625,11188.599609375,11490.5,13819.7998046875,13772.0,14360.2001953125,13980.599609375,13405.7998046875,14973.2998046875,14595.400390625,15170.099609375,16477.599609375,17527.0,17429.5,15599.2001953125,8848.619253305289,9783.292945498511,90.64967916343662,89.68521353538907,96.27373556357236,54,3,8277.009765625,6955.27001953125,7754.0,7621.2998046875,8265.58984375,8736.98046875,8621.900390625
