Date,Open,High,Low,Volume,value,value_classification,Close + 1,Close + 2,Close + 3,Close + 4,Close + 5,Close + 6,Close + 7,Close + 8,Close + 9,Close + 10,Close + 11,Close + 12,Close + 13,Close + 14,Close + 15,Close + 16,Close + 17,Close + 18,Close + 19,Close + 20,Close + 21,Close + 22,Close + 23,Close + 24,Close + 25,Close + 26,Close + 27,Close + 28,Close + 29,Close + 30,MA_13,MA_21,RSI_3,%K,%D,Close
2018-03-03,11101.900390625,11528.2001953125,11002.400390625,6690570240,56,4,11086.400390625,10951.0,10397.900390625,10725.599609375,10366.7001953125,9664.73046875,9813.0703125,10301.099609375,10005.0,10690.400390625,11403.7001953125,11225.2998046875,10551.7998046875,11112.7001953125,10233.900390625,10166.400390625,9494.6298828125,8598.3095703125,8926.5703125,8129.97021484375,8621.900390625,8736.98046875,8265.58984375,7621.2998046875,7754.0,6955.27001953125,8277.009765625,9174.91015625,8830.75,9170.5400390625,10624.661658653846,10254.042015438989,100.0,100.0,100.0,11489.7001953125
2018-03-04,11497.400390625,11512.599609375,11136.099609375,6084149760,44,1,11489.7001953125,11086.400390625,10951.0,10397.900390625,10725.599609375,10366.7001953125,9664.73046875,9813.0703125,10301.099609375,10005.0,10690.400390625,11403.7001953125,11225.2998046875,10551.7998046875,11112.7001953125,10233.900390625,10166.400390625,9494.6298828125,8598.3095703125,8926.5703125,8129.97021484375,8621.900390625,8736.98046875,8265.58984375,7621.2998046875,7754.0,6955.27001953125,8277.009765625,9174.91015625,8830.75,10646.761643629809,10415.119605654761,100.0,100.0,100.0,11512.599609375
2018-03-05,11532.400390625,11704.099609375,11443.900390625,6468539904,55,4,11512.599609375,11489.7001953125,11086.400390625,10951.0,10397.900390625,10725.599609375,10366.7001953125,9664.73046875,9813.0703125,10301.099609375,10005.0,10690.400390625,11403.7001953125,11225.2998046875,10551.7998046875,11112.7001953125,10233.900390625,10166.400390625,9494.6298828125,8598.3095703125,8926.5703125,8129.97021484375,8621.900390625,8736.98046875,8265.58984375,7621.2998046875,7754.0,6955.27001953125,8277.009765625,9174.91015625,10659.807767427885,10541.154343377977,100.0,100.0,100.0,11573.2998046875
2018-03-06,11500.099609375,11500.099609375,10694.2998046875,6832169984,59,4,11573.2998046875,11512.599609375,11489.7001953125,11086.400390625,10951.0,10397.900390625,10725.599609375,10366.7001953125,9664.73046875,9813.0703125,10301.099609375,10005.0,10690.400390625,11403.7001953125,11225.2998046875,10551.7998046875,11112.7001953125,10233.900390625,10166.400390625,9494.6298828125,8598.3095703125,8926.5703125,8129.97021484375,8621.900390625,8736.98046875,8265.58984375,7621.2998046875,7754.0,6955.27001953125,8277.009765625,10666.6923828125,10645.039620535714,9.532463222971614,0.0,66.66666666666667,10779.900390625
2018-03-07,10803.900390625,10929.5,9692.1201171875,8797910016,37,1,10779.900390625,11573.2998046875,11512.599609375,11489.7001953125,11086.400390625,10951.0,10397.900390625,10725.599609375,10366.7001953125,9664.73046875,9813.0703125,10301.099609375,10005.0,10690.400390625,11403.7001953125,11225.2998046875,10551.7998046875,11112.7001953125,10233.900390625,10166.400390625,9494.6298828125,8598.3095703125,8926.5703125,8129.97021484375,8621.900390625,8736.98046875,8265.58984375,7621.2998046875,7754.0,6955.27001953125,10663.659329927885,10667.465355282739,3.638163224214395,0.0,33.333333333333336,9965.5703125
2018-03-08,9951.4404296875,10147.400390625,9335.8701171875,7186089984,39,1,9965.5703125,10779.900390625,11573.2998046875,11512.599609375,11489.7001953125,11086.400390625,10951.0,10397.900390625,10725.599609375,10366.7001953125,9664.73046875,9813.0703125,10301.099609375,10005.0,10690.400390625,11403.7001953125,11225.2998046875,10551.7998046875,11112.7001953125,10233.900390625,10166.400390625,9494.6298828125,8598.3095703125,8926.5703125,8129.97021484375,8621.900390625,8736.98046875,8265.58984375,7621.2998046875,7754.0,10593.960111177885,10630.732468377977,0.0,0.0,0.0,9395.009765625
2018-03-09,9414.6904296875,9466.349609375,8513.0302734375,8704190464,37,1,9395.009765625,9965.5703125,10779.900390625,11573.2998046875,11512.599609375,11489.7001953125,11086.400390625,10951.0,10397.900390625,10725.599609375,10366.7001953125,9664.73046875,9813.0703125,10301.099609375,10005.0,10690.400390625,11403.7001953125,11225.2998046875,10551.7998046875,11112.7001953125,10233.900390625,10166.400390625,9494.6298828125,8598.3095703125,8926.5703125,8129.97021484375,8621.900390625,8736.98046875,8265.58984375,7621.2998046875,10557.381610576924,10588.049107142857,0.0,0.0,0.0,9337.5498046875
2018-03-10,9350.58984375,9531.3203125,8828.4697265625,5386319872,39,1,9337.5498046875,9395.009765625,9965.5703125,10779.900390625,11573.2998046875,11512.599609375,11489.7001953125,11086.400390625,10951.0,10397.900390625,10725.599609375,10366.7001953125,9664.73046875,9813.0703125,10301.099609375,10005.0,10690.400390625,11403.7001953125,11225.2998046875,10551.7998046875,11112.7001953125,10233.900390625,10166.400390625,9494.6298828125,8598.3095703125,8926.5703125,8129.97021484375,8621.900390625,8736.98046875,8265.58984375,10495.940805288461,10481.063383556548,0.0,0.0,0.0,8866.0
2018-03-11,8852.7802734375,9711.8896484375,8607.1201171875,6296370176,40,1,8866.0,9337.5498046875,9395.009765625,9965.5703125,10779.900390625,11573.2998046875,11512.599609375,11489.7001953125,11086.400390625,10951.0,10397.900390625,10725.599609375,10366.7001953125,9664.73046875,9813.0703125,10301.099609375,10005.0,10690.400390625,11403.7001953125,11225.2998046875,10551.7998046875,11112.7001953125,10233.900390625,10166.400390625,9494.6298828125,8598.3095703125,8926.5703125,8129.97021484375,8621.900390625,8736.98046875,10435.32001201923,10434.721958705357,57.39425957517427,64.80985114924154,21.603283716413845,9578.6298828125
2018-03-12,9602.9296875,9937.5,8956.4296875,6457399808,41,1,9578.6298828125,8866.0,9337.5498046875,9395.009765625,9965.5703125,10779.900390625,11573.2998046875,11512.599609375,11489.7001953125,11086.400390625,10951.0,10397.900390625,10725.599609375,10366.7001953125,9664.73046875,9813.0703125,10301.099609375,10005.0,10690.400390625,11403.7001953125,11225.2998046875,10551.7998046875,11112.7001953125,10233.900390625,10166.400390625,9494.6298828125,8598.3095703125,8926.5703125,8129.97021484375,8621.900390625,10318.36005108173,10338.522925967261,45.749162734769676,47.587131183597286,37.465660777612946,9205.1201171875
